                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0343,                      1,                      1,                0.31875,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.02772,                      1,                      1,                0.31743,              0.0001351,              0.0001351,              0.0001351
                      3,                0.02164,                      1,                      1,                0.31615,             0.00018324,             0.00018324,             0.00018324
                      4,                0.01184,                      1,                      1,                0.31515,             0.00021584,             0.00021584,             0.00021584
                      5,                0.01058,                      1,                      1,                0.31424,             0.00023288,             0.00023288,             0.00023288
                      6,                0.01266,                      1,                      1,                  0.314,             0.00023437,             0.00023437,             0.00023437
                      7,                0.01408,                      1,                      1,                0.31455,             0.00022031,             0.00022031,             0.00022031
                      8,                0.01304,                      1,                      1,                0.31463,              0.0001907,              0.0001907,              0.0001907
                      9,                0.01482,                      1,                      1,                0.31405,             0.00014554,             0.00014554,             0.00014554
                     10,                0.00683,                      1,                      1,                 0.3141,             7.7826e-05,             7.7826e-05,             7.7826e-05
